id,firstname,lastname,age,email,email2,city_desired,travel_time,distance_km
20,Mildrid,Skurnik,57,Mildrid.Skurnik@email.com,Mildrid.Skurnik@gmail.com,"Trindade ",1,100.53
21,Corly,Klemperer,37,Corly.Klemperer@email.com,Corly.Klemperer@gmail.com,Penedo,2,825.37
22,Arlena,Cullin,56,Arlena.Cullin@email.com,Arlena.Cullin@gmail.com,Angra dos Reis,3,329.08
23,Elyssa,Mallon,28,Elyssa.Mallon@email.com,Elyssa.Mallon@gmail.com,Penedo,1,46.09
24,Ginnie,Shama,67,Ginnie.Shama@email.com,Ginnie.Shama@gmail.com,Penedo,1,167.24
25,Cristine,Tufts,48,Cristine.Tufts@email.com,Cristine.Tufts@gmail.com,Rio de Janeiro,2,544.29
26,Grier,Ries,56,Grier.Ries@email.com,Grier.Ries@gmail.com,Vitória,5,591.41
27,Ann-Marie,Monaco,22,Ann-Marie.Monaco@email.com,Ann-Marie.Monaco@gmail.com,Guaratinguetá,3,19.72
28,Jorry,Middleton,38,Jorry.Middleton@email.com,Jorry.Middleton@gmail.com,Vitória,3,775.04
29,Cristabel,Hoban,57,Cristabel.Hoban@email.com,Cristabel.Hoban@gmail.com,"Trindade ",5,272.55
30,Eugine,Mott,50,Eugine.Mott@email.com,Eugine.Mott@gmail.com,Santos,4,808.9
31,Lonnie,Gamaliel,70,Lonnie.Gamaliel@email.com,Lonnie.Gamaliel@gmail.com,Rio de Janeiro,3,554.02
32,Taffy,Sheedy,21,Taffy.Sheedy@email.com,Taffy.Sheedy@gmail.com,Vitória,2,85.33
33,Candy,Berl,51,Candy.Berl@email.com,Candy.Berl@gmail.com,Angra dos Reis,2,362.83
34,Vevay,Nahum,61,Vevay.Nahum@email.com,Vevay.Nahum@gmail.com,Rio de Janeiro,1,522.96
35,Aurore,Arne,23,Aurore.Arne@email.com,Aurore.Arne@gmail.com,Penedo,1,987.25
36,Nessie,Faust,60,Nessie.Faust@email.com,Nessie.Faust@gmail.com,São Paulo,2,302.91
37,Kaia,Leopold,27,Kaia.Leopold@email.com,Kaia.Leopold@gmail.com,"Trindade ",3,385.04
38,Kathy,Melony,57,Kathy.Melony@email.com,Kathy.Melony@gmail.com,Santos,3,247.11
39,Benita,Docilla,32,Benita.Docilla@email.com,Benita.Docilla@gmail.com,Angra dos Reis,5,591.15
40,Jaime,Lemuela,69,Jaime.Lemuela@email.com,Jaime.Lemuela@gmail.com,Rio de Janeiro,1,828.15
41,Aurore,Idelia,52,Aurore.Idelia@email.com,Aurore.Idelia@gmail.com,Guaratinguetá,5,642.62
42,Louella,Durante,31,Louella.Durante@email.com,Louella.Durante@gmail.com,"Trindade ",4,472.65
43,Alexine,Myrilla,67,Alexine.Myrilla@email.com,Alexine.Myrilla@gmail.com,Penedo,4,511.77
44,Emilia,Felecia,31,Emilia.Felecia@email.com,Emilia.Felecia@gmail.com,"Trindade ",2,869.94
45,Jany,Maribeth,67,Jany.Maribeth@email.com,Jany.Maribeth@gmail.com,Angra dos Reis,3,966.39
46,Annaliese,Vittoria,66,Annaliese.Vittoria@email.com,Annaliese.Vittoria@gmail.com,Rio de Janeiro,5,615.96
47,Belinda,Rhu,35,Belinda.Rhu@email.com,Belinda.Rhu@gmail.com,Guaratinguetá,2,57.51
48,Emilia,Glenden,29,Emilia.Glenden@email.com,Emilia.Glenden@gmail.com,Vitória,5,231.34
49,Shirlee,Seessel,69,Shirlee.Seessel@email.com,Shirlee.Seessel@gmail.com,Rio de Janeiro,1,51.03
50,Diena,Sancho,68,Diena.Sancho@email.com,Diena.Sancho@gmail.com,Santos,2,216.03
51,Deedee,Rosette,60,Deedee.Rosette@email.com,Deedee.Rosette@gmail.com,São Paulo,4,574.88
52,Danika,Gavrila,20,Danika.Gavrila@email.com,Danika.Gavrila@gmail.com,São Paulo,5,736.98
53,Pearline,Skurnik,24,Pearline.Skurnik@email.com,Pearline.Skurnik@gmail.com,Penedo,1,544.15
54,Celisse,Madox,31,Celisse.Madox@email.com,Celisse.Madox@gmail.com,"Trindade ",1,499.98
55,Kellen,Yam,27,Kellen.Yam@email.com,Kellen.Yam@gmail.com,Guaratinguetá,2,686.11
56,Kamilah,Bonilla,23,Kamilah.Bonilla@email.com,Kamilah.Bonilla@gmail.com,Vitória,2,814.75
57,Jany,Center,63,Jany.Center@email.com,Jany.Center@gmail.com,Angra dos Reis,4,277.89
58,Annaliese,Gordon,60,Annaliese.Gordon@email.com,Annaliese.Gordon@gmail.com,Penedo,2,342.42
59,Leia,Ferrell,35,Leia.Ferrell@email.com,Leia.Ferrell@gmail.com,Guaratinguetá,1,672.9
60,Marinna,Jeanne,32,Marinna.Jeanne@email.com,Marinna.Jeanne@gmail.com,Angra dos Reis,1,803.07
61,Latisha,Sundin,66,Latisha.Sundin@email.com,Latisha.Sundin@gmail.com,Rio de Janeiro,3,325.74
62,Gisela,Pelagias,21,Gisela.Pelagias@email.com,Gisela.Pelagias@gmail.com,São Paulo,5,518.77
63,Louella,Pattin,52,Louella.Pattin@email.com,Louella.Pattin@gmail.com,Penedo,4,682.3
64,Regina,Dosia,67,Regina.Dosia@email.com,Regina.Dosia@gmail.com,Penedo,1,395.55
65,Gusty,Bashemeth,41,Gusty.Bashemeth@email.com,Gusty.Bashemeth@gmail.com,Guaratinguetá,1,542.51
66,Bertine,Skell,70,Bertine.Skell@email.com,Bertine.Skell@gmail.com,"Trindade ",3,283.02
67,Marsiella,Byrne,27,Marsiella.Byrne@email.com,Marsiella.Byrne@gmail.com,Rio de Janeiro,3,412.88
68,Sophia,Bettine,44,Sophia.Bettine@email.com,Sophia.Bettine@gmail.com,Santos,4,267.07
69,Roz,Klemperer,41,Roz.Klemperer@email.com,Roz.Klemperer@gmail.com,Vitória,3,895.12
70,Ulrike,Shields,29,Ulrike.Shields@email.com,Ulrike.Shields@gmail.com,Santos,1,398.62
71,Millie,Tippets,21,Millie.Tippets@email.com,Millie.Tippets@gmail.com,São Paulo,3,199.74
72,Jordan,Haldas,39,Jordan.Haldas@email.com,Jordan.Haldas@gmail.com,Guaratinguetá,4,950.78
73,Melisent,Tayib,65,Melisent.Tayib@email.com,Melisent.Tayib@gmail.com,Angra dos Reis,5,903.73
74,Alejandra,Shirberg,68,Alejandra.Shirberg@email.com,Alejandra.Shirberg@gmail.com,Angra dos Reis,3,821.35
75,Rosanne,Bivins,35,Rosanne.Bivins@email.com,Rosanne.Bivins@gmail.com,Penedo,2,339.06
76,Giustina,Hieronymus,59,Giustina.Hieronymus@email.com,Giustina.Hieronymus@gmail.com,Vitória,5,21.65
77,Marika,Marijo,56,Marika.Marijo@email.com,Marika.Marijo@gmail.com,São Paulo,1,86.98
78,Sophia,Curren,31,Sophia.Curren@email.com,Sophia.Curren@gmail.com,Angra dos Reis,4,629.28
79,Ermengarde,Lynn,49,Ermengarde.Lynn@email.com,Ermengarde.Lynn@gmail.com,Rio de Janeiro,5,8.03
80,Albertina,Riva,28,Albertina.Riva@email.com,Albertina.Riva@gmail.com,Penedo,2,132.59
81,Trudie,Wenda,43,Trudie.Wenda@email.com,Trudie.Wenda@gmail.com,Rio de Janeiro,4,484.7
82,Peri,Jammal,24,Peri.Jammal@email.com,Peri.Jammal@gmail.com,Vitória,2,52.07
83,Briney,Edmund,57,Briney.Edmund@email.com,Briney.Edmund@gmail.com,Vitória,5,724.92
84,Morganica,Seessel,26,Morganica.Seessel@email.com,Morganica.Seessel@gmail.com,Penedo,3,728.94
85,Lenna,Gillan,30,Lenna.Gillan@email.com,Lenna.Gillan@gmail.com,Guaratinguetá,1,684.27
86,Lelah,Podvin,55,Lelah.Podvin@email.com,Lelah.Podvin@gmail.com,Penedo,4,547.78
87,Norine,LaRue,26,Norine.LaRue@email.com,Norine.LaRue@gmail.com,"Trindade ",3,681.92
88,Cathyleen,Hebner,62,Cathyleen.Hebner@email.com,Cathyleen.Hebner@gmail.com,Penedo,2,37.8
89,Kalina,Norvol,26,Kalina.Norvol@email.com,Kalina.Norvol@gmail.com,Santos,1,286.7
90,Mady,Rhu,44,Mady.Rhu@email.com,Mady.Rhu@gmail.com,Guaratinguetá,2,809.81
91,Di,LaRue,61,Di.LaRue@email.com,Di.LaRue@gmail.com,Santos,1,978.95
92,Anallese,Kathie,58,Anallese.Kathie@email.com,Anallese.Kathie@gmail.com,Angra dos Reis,5,652.23
93,Lynde,Cherianne,55,Lynde.Cherianne@email.com,Lynde.Cherianne@gmail.com,Penedo,4,734.09
94,Dorothy,Honoria,54,Dorothy.Honoria@email.com,Dorothy.Honoria@gmail.com,Penedo,1,686.8
95,Gloria,Voletta,30,Gloria.Voletta@email.com,Gloria.Voletta@gmail.com,Guaratinguetá,4,203.99
96,Rivalee,Brodench,30,Rivalee.Brodench@email.com,Rivalee.Brodench@gmail.com,Santos,1,461.31
97,Roz,Grobe,36,Roz.Grobe@email.com,Roz.Grobe@gmail.com,Angra dos Reis,1,60.1
98,Vivia,Diann,58,Vivia.Diann@email.com,Vivia.Diann@gmail.com,Santos,4,489.58
99,Henriette,Eliathas,33,Henriette.Eliathas@email.com,Henriette.Eliathas@gmail.com,Vitória,5,450.7
100,Viviene,Constancy,56,Viviene.Constancy@email.com,Viviene.Constancy@gmail.com,Angra dos Reis,3,293.66
101,Frank,Brian,38,Frank.Brian@email.com,Frank.Brian@gmail.com,Guaratinguetá,1,828.4
102,Amii,Cottle,27,Amii.Cottle@email.com,Amii.Cottle@gmail.com,Penedo,5,971.16
103,Antonietta,Earlie,58,Antonietta.Earlie@email.com,Antonietta.Earlie@gmail.com,Angra dos Reis,2,732.77
104,Mamie,Orlene,42,Mamie.Orlene@email.com,Mamie.Orlene@gmail.com,Angra dos Reis,2,250.23
105,Sam,Brady,57,Sam.Brady@email.com,Sam.Brady@gmail.com,Rio de Janeiro,1,946.39
106,Latisha,Dearborn,36,Latisha.Dearborn@email.com,Latisha.Dearborn@gmail.com,Rio de Janeiro,5,180.01
107,Janeczka,Kermit,32,Janeczka.Kermit@email.com,Janeczka.Kermit@gmail.com,Santos,2,899.98
108,Cristabel,O'Rourke,51,Cristabel.O'Rourke@email.com,Cristabel.O'Rourke@gmail.com,Guaratinguetá,4,25.45
109,Cathie,MacIntosh,38,Cathie.MacIntosh@email.com,Cathie.MacIntosh@gmail.com,Angra dos Reis,2,837.03
110,Bee,Bronk,55,Bee.Bronk@email.com,Bee.Bronk@gmail.com,Santos,4,721.36
111,Fred,Lesley,68,Fred.Lesley@email.com,Fred.Lesley@gmail.com,"Trindade ",1,526.97
112,Gerianna,Raul,31,Gerianna.Raul@email.com,Gerianna.Raul@gmail.com,Santos,5,471.77
113,Danny,Honoria,35,Danny.Honoria@email.com,Danny.Honoria@gmail.com,Guaratinguetá,1,266.77
114,Tarra,Guildroy,62,Tarra.Guildroy@email.com,Tarra.Guildroy@gmail.com,São Paulo,5,325.43
115,Tobe,Duwalt,42,Tobe.Duwalt@email.com,Tobe.Duwalt@gmail.com,São Paulo,2,561.2
116,Anallese,Brodench,52,Anallese.Brodench@email.com,Anallese.Brodench@gmail.com,Vitória,1,129.44
117,Jorry,Berard,70,Jorry.Berard@email.com,Jorry.Berard@gmail.com,Rio de Janeiro,3,303.89
118,Shel,Miru,45,Shel.Miru@email.com,Shel.Miru@gmail.com,Rio de Janeiro,5,59.41
119,Jean,Genna,41,Jean.Genna@email.com,Jean.Genna@gmail.com,São Paulo,2,24.72
120,Cristine,Toor,26,Cristine.Toor@email.com,Cristine.Toor@gmail.com,Angra dos Reis,5,774.93
121,Judy,Tillford,33,Judy.Tillford@email.com,Judy.Tillford@gmail.com,Rio de Janeiro,4,534.17
122,Bee,Hoban,49,Bee.Hoban@email.com,Bee.Hoban@gmail.com,Guaratinguetá,5,237.26
123,Clarice,Sabella,24,Clarice.Sabella@email.com,Clarice.Sabella@gmail.com,Guaratinguetá,1,276.82
124,Violet,Firmin,57,Violet.Firmin@email.com,Violet.Firmin@gmail.com,São Paulo,2,611.36
125,Lily,Garbe,65,Lily.Garbe@email.com,Lily.Garbe@gmail.com,Guaratinguetá,2,344.93
126,Lesly,Janene,69,Lesly.Janene@email.com,Lesly.Janene@gmail.com,Guaratinguetá,3,8.96
127,Lacie,Maxi,50,Lacie.Maxi@email.com,Lacie.Maxi@gmail.com,São Paulo,4,238.98
128,Darci,Forrer,46,Darci.Forrer@email.com,Darci.Forrer@gmail.com,Vitória,5,265.94
129,Rhoda,Thunell,48,Rhoda.Thunell@email.com,Rhoda.Thunell@gmail.com,Penedo,5,949.79
130,Katharina,Ellord,30,Katharina.Ellord@email.com,Katharina.Ellord@gmail.com,Rio de Janeiro,3,615.66
131,Priscilla,August,21,Priscilla.August@email.com,Priscilla.August@gmail.com,Penedo,3,749.76
132,Tiffie,Wyn,44,Tiffie.Wyn@email.com,Tiffie.Wyn@gmail.com,Vitória,3,213.91
133,Ivett,Bethany,23,Ivett.Bethany@email.com,Ivett.Bethany@gmail.com,Rio de Janeiro,2,416.91
134,Camile,Plato,34,Camile.Plato@email.com,Camile.Plato@gmail.com,Rio de Janeiro,1,182.71
135,Melanie,Cressida,56,Melanie.Cressida@email.com,Melanie.Cressida@gmail.com,Santos,5,590.15
136,Janenna,Rozanna,28,Janenna.Rozanna@email.com,Janenna.Rozanna@gmail.com,Santos,5,405.45
137,Paule,Gamaliel,36,Paule.Gamaliel@email.com,Paule.Gamaliel@gmail.com,"Trindade ",1,4.69
138,Debee,Reidar,58,Debee.Reidar@email.com,Debee.Reidar@gmail.com,Angra dos Reis,1,192.53
139,Courtnay,Neils,54,Courtnay.Neils@email.com,Courtnay.Neils@gmail.com,Santos,5,805.29
140,Paola,Docilla,69,Paola.Docilla@email.com,Paola.Docilla@gmail.com,Angra dos Reis,3,335.33
141,Cecile,Jess,36,Cecile.Jess@email.com,Cecile.Jess@gmail.com,Vitória,1,457.73
142,Amii,Barbey,46,Amii.Barbey@email.com,Amii.Barbey@gmail.com,Penedo,3,828.94
143,Carol-Jean,Zaslow,33,Carol-Jean.Zaslow@email.com,Carol-Jean.Zaslow@gmail.com,São Paulo,5,261.89
144,Hildegaard,Salchunas,22,Hildegaard.Salchunas@email.com,Hildegaard.Salchunas@gmail.com,Guaratinguetá,4,227.12
145,Vonny,Natica,55,Vonny.Natica@email.com,Vonny.Natica@gmail.com,Rio de Janeiro,1,407.02
146,Marsiella,Phi,50,Marsiella.Phi@email.com,Marsiella.Phi@gmail.com,Rio de Janeiro,3,465.79
147,Lusa,Standing,22,Lusa.Standing@email.com,Lusa.Standing@gmail.com,São Paulo,2,963.14
148,Chandra,Wadell,41,Chandra.Wadell@email.com,Chandra.Wadell@gmail.com,Rio de Janeiro,2,63.39
149,Zsa Zsa,Stacy,68,Zsa Zsa.Stacy@email.com,Zsa Zsa.Stacy@gmail.com,Guaratinguetá,5,978.25
150,Veda,Kauppi,57,Veda.Kauppi@email.com,Veda.Kauppi@gmail.com,Penedo,1,233.11
151,Thalia,Buckler,40,Thalia.Buckler@email.com,Thalia.Buckler@gmail.com,Santos,4,42.07
152,Dolli,Orelee,68,Dolli.Orelee@email.com,Dolli.Orelee@gmail.com,Vitória,5,884.96
153,Marnia,Longfellow,29,Marnia.Longfellow@email.com,Marnia.Longfellow@gmail.com,São Paulo,3,658.37
154,Annice,Jarib,55,Annice.Jarib@email.com,Annice.Jarib@gmail.com,Santos,2,570.44
155,Priscilla,Jagir,68,Priscilla.Jagir@email.com,Priscilla.Jagir@gmail.com,Guaratinguetá,1,194.89
156,Emelina,Zola,61,Emelina.Zola@email.com,Emelina.Zola@gmail.com,Angra dos Reis,5,231.98
157,Nicoli,Clie,44,Nicoli.Clie@email.com,Nicoli.Clie@gmail.com,São Paulo,1,746.63
158,Reeba,Kirbee,32,Reeba.Kirbee@email.com,Reeba.Kirbee@gmail.com,Penedo,2,190.03
159,Leontine,Bashemeth,53,Leontine.Bashemeth@email.com,Leontine.Bashemeth@gmail.com,São Paulo,3,850.97
160,Raquela,Gino,64,Raquela.Gino@email.com,Raquela.Gino@gmail.com,Angra dos Reis,4,515.68
161,Robinia,McAdams,53,Robinia.McAdams@email.com,Robinia.McAdams@gmail.com,Guaratinguetá,3,308.67
162,Gale,Lorenz,65,Gale.Lorenz@email.com,Gale.Lorenz@gmail.com,Guaratinguetá,1,861.78
163,Lucille,Alcott,49,Lucille.Alcott@email.com,Lucille.Alcott@gmail.com,Santos,1,261.49
164,Joceline,Whittaker,57,Joceline.Whittaker@email.com,Joceline.Whittaker@gmail.com,Vitória,3,967.86
165,Rivalee,Fiester,30,Rivalee.Fiester@email.com,Rivalee.Fiester@gmail.com,Santos,4,813.97
166,Bernie,Bigner,48,Bernie.Bigner@email.com,Bernie.Bigner@gmail.com,Santos,5,152.47
167,Marguerite,Chobot,56,Marguerite.Chobot@email.com,Marguerite.Chobot@gmail.com,São Paulo,3,176.7
168,Rivalee,Medrek,70,Rivalee.Medrek@email.com,Rivalee.Medrek@gmail.com,Rio de Janeiro,5,352.23
169,Beatriz,Ietta,49,Beatriz.Ietta@email.com,Beatriz.Ietta@gmail.com,Vitória,3,962.09
170,Audrie,Phi,25,Audrie.Phi@email.com,Audrie.Phi@gmail.com,Vitória,3,842.86
171,Ellette,Sharl,22,Ellette.Sharl@email.com,Ellette.Sharl@gmail.com,Santos,3,870.09
172,Harrietta,Whiffen,46,Harrietta.Whiffen@email.com,Harrietta.Whiffen@gmail.com,Rio de Janeiro,3,355.46
173,Dolli,Shama,52,Dolli.Shama@email.com,Dolli.Shama@gmail.com,"Trindade ",5,11.68
174,Ezmeralda,Vharat,59,Ezmeralda.Vharat@email.com,Ezmeralda.Vharat@gmail.com,Angra dos Reis,1,865.31
175,Donetta,Trinetta,24,Donetta.Trinetta@email.com,Donetta.Trinetta@gmail.com,"Trindade ",4,672.55
176,Renie,Dowski,67,Renie.Dowski@email.com,Renie.Dowski@gmail.com,Penedo,3,716.29
177,Tami,Clywd,32,Tami.Clywd@email.com,Tami.Clywd@gmail.com,São Paulo,2,572.91
178,Celene,Talia,50,Celene.Talia@email.com,Celene.Talia@gmail.com,São Paulo,1,252.36
179,Margarette,Calhoun,39,Margarette.Calhoun@email.com,Margarette.Calhoun@gmail.com,São Paulo,4,390.14
180,Sandie,Swanhildas,57,Sandie.Swanhildas@email.com,Sandie.Swanhildas@gmail.com,Guaratinguetá,5,487.24
181,Pearline,Mata,34,Pearline.Mata@email.com,Pearline.Mata@gmail.com,Vitória,2,628.95
182,Bernardine,Gemini,33,Bernardine.Gemini@email.com,Bernardine.Gemini@gmail.com,Guaratinguetá,4,291.28
183,Sissy,Naor,33,Sissy.Naor@email.com,Sissy.Naor@gmail.com,Angra dos Reis,5,640.96
184,Melisent,Gabrielli,35,Melisent.Gabrielli@email.com,Melisent.Gabrielli@gmail.com,Angra dos Reis,4,244.12
185,Tressa,McAdams,41,Tressa.McAdams@email.com,Tressa.McAdams@gmail.com,Guaratinguetá,5,349.64
186,Jolyn,Zeeba,58,Jolyn.Zeeba@email.com,Jolyn.Zeeba@gmail.com,Guaratinguetá,3,453.71
187,Konstance,Phyllis,70,Konstance.Phyllis@email.com,Konstance.Phyllis@gmail.com,Santos,1,996.12
188,Wendi,Lynn,47,Wendi.Lynn@email.com,Wendi.Lynn@gmail.com,Guaratinguetá,5,910.31
189,Merle,Lutero,34,Merle.Lutero@email.com,Merle.Lutero@gmail.com,Penedo,4,740.81
190,Korrie,Avi,54,Korrie.Avi@email.com,Korrie.Avi@gmail.com,"Trindade ",2,743.08
191,Jorry,Bethany,62,Jorry.Bethany@email.com,Jorry.Bethany@gmail.com,São Paulo,3,165.46
192,Corly,Urania,31,Corly.Urania@email.com,Corly.Urania@gmail.com,"Trindade ",2,860.85
193,Cherrita,Stevy,58,Cherrita.Stevy@email.com,Cherrita.Stevy@gmail.com,Santos,4,731.02
194,Darci,Cleavland,21,Darci.Cleavland@email.com,Darci.Cleavland@gmail.com,São Paulo,3,962.89
195,Nannie,Thema,61,Nannie.Thema@email.com,Nannie.Thema@gmail.com,Guaratinguetá,2,59.72
196,Lynea,Mintz,57,Lynea.Mintz@email.com,Lynea.Mintz@gmail.com,São Paulo,1,458.31
197,Tami,Manolo,24,Tami.Manolo@email.com,Tami.Manolo@gmail.com,Guaratinguetá,5,862.64
198,Kore,Cookie,47,Kore.Cookie@email.com,Kore.Cookie@gmail.com,Rio de Janeiro,2,367.73
199,Gwenneth,Hubert,30,Gwenneth.Hubert@email.com,Gwenneth.Hubert@gmail.com,"Trindade ",1,862.42
200,Edith,Syd,28,Edith.Syd@email.com,Edith.Syd@gmail.com,Guaratinguetá,1,830.5
201,Elbertina,Jeanne,63,Elbertina.Jeanne@email.com,Elbertina.Jeanne@gmail.com,Santos,1,307.63
202,Joeann,Xerxes,39,Joeann.Xerxes@email.com,Joeann.Xerxes@gmail.com,Rio de Janeiro,4,960.03
203,Noelle,Caitlin,34,Noelle.Caitlin@email.com,Noelle.Caitlin@gmail.com,"Trindade ",2,949.4
204,Lacie,Masao,52,Lacie.Masao@email.com,Lacie.Masao@gmail.com,Vitória,5,108.19
205,Lynea,Reneta,25,Lynea.Reneta@email.com,Lynea.Reneta@gmail.com,Santos,4,719.84
206,Elbertina,Olin,60,Elbertina.Olin@email.com,Elbertina.Olin@gmail.com,São Paulo,3,96.62
207,Nariko,Glovsky,38,Nariko.Glovsky@email.com,Nariko.Glovsky@gmail.com,Guaratinguetá,2,832.38
208,Candy,Daniele,20,Candy.Daniele@email.com,Candy.Daniele@gmail.com,Guaratinguetá,1,896.45
209,Keelia,Sammons,43,Keelia.Sammons@email.com,Keelia.Sammons@gmail.com,Santos,4,590.59
210,Nananne,O'Carroll,48,Nananne.O'Carroll@email.com,Nananne.O'Carroll@gmail.com,Rio de Janeiro,4,920.6
211,Concettina,Holbrook,49,Concettina.Holbrook@email.com,Concettina.Holbrook@gmail.com,Vitória,2,907.12
212,Meg,Ardra,64,Meg.Ardra@email.com,Meg.Ardra@gmail.com,Angra dos Reis,1,311.52
213,Dolli,Carleen,33,Dolli.Carleen@email.com,Dolli.Carleen@gmail.com,São Paulo,3,934.41
214,Vanessa,Voletta,65,Vanessa.Voletta@email.com,Vanessa.Voletta@gmail.com,Vitória,3,53.6
215,Caritta,Bonilla,33,Caritta.Bonilla@email.com,Caritta.Bonilla@gmail.com,Santos,5,24
216,Fanchon,Dahlia,62,Fanchon.Dahlia@email.com,Fanchon.Dahlia@gmail.com,"Trindade ",2,379.86
217,Elka,Kellby,32,Elka.Kellby@email.com,Elka.Kellby@gmail.com,Penedo,4,84.29
218,Libbie,Hepsibah,62,Libbie.Hepsibah@email.com,Libbie.Hepsibah@gmail.com,Santos,3,201.48
219,Modestia,Chauncey,33,Modestia.Chauncey@email.com,Modestia.Chauncey@gmail.com,Vitória,1,657.44
220,Gwenneth,Socha,55,Gwenneth.Socha@email.com,Gwenneth.Socha@gmail.com,Santos,2,339.35
221,Tilly,Joni,39,Tilly.Joni@email.com,Tilly.Joni@gmail.com,Santos,1,179.48
222,Starla,Stilwell,33,Starla.Stilwell@email.com,Starla.Stilwell@gmail.com,Santos,4,719.07
223,Dorothy,Anderea,58,Dorothy.Anderea@email.com,Dorothy.Anderea@gmail.com,Penedo,5,46.68
224,Valera,Cohdwell,61,Valera.Cohdwell@email.com,Valera.Cohdwell@gmail.com,Penedo,3,513.73
225,Karena,Zetta,66,Karena.Zetta@email.com,Karena.Zetta@gmail.com,Guaratinguetá,4,133.11
226,Wileen,Melan,34,Wileen.Melan@email.com,Wileen.Melan@gmail.com,Guaratinguetá,1,82.2
227,Robbi,Kevon,24,Robbi.Kevon@email.com,Robbi.Kevon@gmail.com,Penedo,4,736.82
228,Annice,Ietta,60,Annice.Ietta@email.com,Annice.Ietta@gmail.com,Guaratinguetá,5,573.69
229,Jessy,Olympium,37,Jessy.Olympium@email.com,Jessy.Olympium@gmail.com,Santos,3,713.92
230,Joelly,Allys,68,Joelly.Allys@email.com,Joelly.Allys@gmail.com,Guaratinguetá,2,72.23
231,Carilyn,Yorick,56,Carilyn.Yorick@email.com,Carilyn.Yorick@gmail.com,Angra dos Reis,5,986.23
232,Betta,Bryna,51,Betta.Bryna@email.com,Betta.Bryna@gmail.com,São Paulo,3,819.37
233,Carilyn,Leary,62,Carilyn.Leary@email.com,Carilyn.Leary@gmail.com,"Trindade ",3,147.72
234,Babita,Susannah,61,Babita.Susannah@email.com,Babita.Susannah@gmail.com,Vitória,4,576.15
235,Kimmy,Moina,66,Kimmy.Moina@email.com,Kimmy.Moina@gmail.com,"Trindade ",4,713
236,Teriann,Gaspard,65,Teriann.Gaspard@email.com,Teriann.Gaspard@gmail.com,Rio de Janeiro,1,818.57
237,Carol-Jean,Dahlia,23,Carol-Jean.Dahlia@email.com,Carol-Jean.Dahlia@gmail.com,São Paulo,3,770.2
238,Glenda,Firmin,42,Glenda.Firmin@email.com,Glenda.Firmin@gmail.com,"Trindade ",3,177.81
239,Willetta,Hoban,39,Willetta.Hoban@email.com,Willetta.Hoban@gmail.com,Penedo,2,441.56
240,Zondra,Drus,66,Zondra.Drus@email.com,Zondra.Drus@gmail.com,São Paulo,4,75.92
241,Augustine,Kalinda,22,Augustine.Kalinda@email.com,Augustine.Kalinda@gmail.com,Rio de Janeiro,2,257.6
242,Shell,Frendel,21,Shell.Frendel@email.com,Shell.Frendel@gmail.com,Angra dos Reis,3,204.36
243,Frieda,Mike,67,Frieda.Mike@email.com,Frieda.Mike@gmail.com,Santos,5,687.79
